Hour,场景1,场景2,场景3,场景4
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.14508547924769094,0.040490846833037164,0.06054632813885403,0.020987650833583844
6,2.131486584649098,0.8340029848780742,0.756868790005902,0.3270251126181714
7,5.900308857527112,3.5559245599801494,2.676537559495096,1.3938831827266558
8,9.943734779931521,7.3888562275865715,5.033232233652701,2.7570240606167538
9,13.334146052032317,10.730919028555935,7.457769986711184,3.768319325353098
10,15.4535921407044,13.023177334058772,9.304274234848487,4.556289815243483
11,16.706285494434383,14.182821819268632,10.136590947483542,4.892938904124249
12,17.04989835998849,14.46768236938178,9.974288090890663,4.432509736881386
13,16.09660054513962,13.191615359270793,8.878482696332826,3.995267069305911
14,14.025864039536662,10.914910340212987,7.076294790779582,3.3312086929534863
15,10.923561543317167,7.801628539869151,4.968552460596927,2.4879507102454843
16,7.029413605488985,4.031224448239492,2.684155520419009,1.450548926298638
17,3.0242353882267077,1.0844309449796998,0.8956968133780465,0.4209230376245685
18,0.36044654967955914,0.11354458215290604,0.11139201524745519,0.0420040386875257
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
