,绿电消纳率(%),弃电率(%),系统总运行成本(元),碳排放量(kgCO2),单位算力碳排放(kgCO2/kWh),任务完成率(%),算力节点利用率(%),最大购电功率(MW),日均光伏消纳量(MWh),储能日折旧(元/天),峰值需量(MW),需量费(元/天),光伏消纳(MWh),小水电消纳(MWh),总绿电消纳(MWh),弹性任务调节量(MWh)
场景一,100.0,0.0,7945.21,0.0,0.0,100.0,20.0,0.0,52.65,7945.21,0.0,0.0,16.65,36.0,52.65,
场景二,100.0,0.0,51015.62,43.39,0.6457,100.0,76.0,7.3,52.65,7945.21,7.3,9737.61,16.65,36.0,52.65,
场景三,100.0,0.0,48668.19,40.67,0.6052,100.0,76.0,6.21,52.65,7945.21,6.21,8275.65,16.65,36.0,52.65,32.27
