,绿电消纳率(%),弃电率(%),系统总运行成本(元),碳排放量(kgCO2),单位算力碳排放(kgCO2/kWh),任务完成率(%),算力节点利用率(%),最大购电功率(MW),日均光伏消纳量(MWh),储能日折旧(元/天),峰值需量(MW),需量费(元/天),光伏消纳(MWh),小水电消纳(MWh),总绿电消纳(MWh),弹性任务调节量(MWh)
场景一,44.75,55.25,46168.49,0.0,0.0,100.0,20.0,0.0,56.3,7945.21,0.0,0.0,0.0,84.0,56.3,
场景二,100.0,0.0,9771.65,1.89,0.0281,100.0,76.0,0.41,125.79,7945.21,0.41,541.89,41.79,84.0,125.79,
场景三,100.0,0.0,7945.21,0.0,0.0,100.0,76.0,0.0,125.79,7945.21,0.0,0.0,41.79,84.0,125.79,31.97
