Hour,PV_MW
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,7.9648
7,15.0859
8,20.4335
9,31.5869
10,29.4944
11,31.9309
12,33.6816
13,31.5717
14,27.3815
15,20.7176
16,15.0949
17,8.3419
18,1.456
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
