Hour,PV_MW
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,4.2879
7,12.0618
8,20.5273
9,26.1608
10,29.0067
11,30.9408
12,31.4041
13,31.2553
14,25.35
15,22.7111
16,13.5633
17,5.9457
18,0.7866
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
