Hour,PV_MW
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,3.5762
7,7.6874
8,11.5904
9,17.3604
10,13.129
11,18.1503
12,16.9633
13,16.0188
14,14.3398
15,14.2176
16,8.0345
17,4.2623
18,0.7124
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
